Symbol,Name,"% Holding",Shares
AAPL,"Apple Inc",0.02%,N/A
WMT,"Walmart Inc",0.02%,N/A
ADBE,"Adobe Systems Inc",0.02%,N/A
BKNG,"Booking Holdings Inc",0.02%,N/A
EL,"Estee Lauder Companies",0.02%,N/A
PEP,"Pepsico Inc",0.01%,N/A
ADSK,"Autodesk Inc",0.01%,N/A
TJX,"TJX Companies",0.01%,N/A
MMM,"3M Company",0.01%,N/A
KLAC,"K L A-Tencor Corp",0.01%,N/A
CDNS,"Cadence Design Sys",0.01%,N/A
MCHP,"Microchip Technology",0.01%,N/A
EOG,"Eog Resources",0.01%,N/A
AIG,"American International Group",0.01%,N/A
GILD,"Gilead Sciences Inc",0.01%,N/A
PAYX,"Paychex Inc",0.01%,N/A
BMY,"Bristol-Myers Squibb Company",0.01%,N/A
CSCO,"Cisco Systems Inc",0.01%,N/A
COST,"Costco Wholesale",0.01%,N/A
COP,Conocophillips,0.01%,N/A
ABNB,"Airbnb Inc Cl A",0.01%,N/A
ADP,"Automatic Data Procs",0.01%,N/A
ACN,"Accenture Plc",0.01%,N/A
PXD,"Pioneer Natural Resources Company",0.01%,N/A
OXY,"Occidental Petroleum Corp",0.01%,N/A
XOM,"Exxon Mobil Corp",0.01%,N/A
AXP,"American Express Company",0.01%,N/A
TER,"Teradyne Inc",0.01%,N/A
EW,"Edwards Lifesciences Corp",0.01%,N/A
MSM,"Msc Industrial Direct Company",0.01%,N/A
BBY,"Best Buy Company",0.01%,N/A
EQH,"Axa Equitable Holdings Inc",0.01%,N/A
POOL,"Pool Corp",0.01%,N/A
MANH,"Manhattan Assoc",0.01%,N/A
BLDR,"Builders Firstsource",0.01%,N/A
LULU,"Lululemon Athletica",0.01%,N/A
TPR,"Tapestry Inc",0.01%,N/A
ISRG,"Intuitive Surg Inc",0.01%,N/A
LSTR,"Landstar System",0.01%,N/A
VRTX,"Vertex Pharmaceutic",0.01%,N/A
AMP,"Ameriprise Financial Services",0.01%,N/A
PANW,"Palo Alto Networks Inc",0.01%,N/A
TDC,"Teradata Corp",0.01%,N/A
EBAY,"Ebay Inc",0.00%,N/A
CHE,"Chemed Inc",0.00%,N/A
CPRI,"Capri Holdings Ltd",0.00%,N/A
PFG,"Principal Financial Group Inc",0.00%,N/A
VLO,"Valero Energy Corp",0.00%,N/A
KR,"Kroger Company",0.00%,N/A
MRK,"Merck & Company",0.00%,N/A
BPOP,"Popular Inc",0.00%,N/A
GPC,"Genuine Parts Company",0.00%,N/A
UFPI,"Universal Forest Prd",0.00%,N/A
ECL,"Ecolab Inc",0.00%,N/A
CHX,"Championx Corp",0.00%,N/A
YETI,"Yeti Holdings Inc",0.00%,N/A
QLYS,"Qualys Inc",0.00%,N/A
PBF,"PBF Energy Inc",0.00%,N/A
DCI,"Donaldson Company",0.00%,N/A
CAT,"Caterpillar Inc",0.00%,N/A
MLI,"Mueller Industries",0.00%,N/A
AYI,"Acuity Brands Inc",0.00%,N/A
TGT,"Target Corp",0.00%,N/A
LNTH,"Lantheus Holdings",0.00%,N/A
EXPE,"Expedia Group Inc",0.00%,N/A
BIIB,"Biogen Inc",0.00%,N/A
NSP,"Insperity Inc",0.00%,N/A
LRCX,"Lam Research Corp",0.00%,N/A
EXPD,"Expeditors Intl",0.00%,N/A
SYF,"Synchrony Financial",0.00%,N/A
HUM,"Humana Inc",0.00%,N/A
RHI,"Robert Half International Inc",0.00%,N/A
JNJ,"Johnson & Johnson",0.00%,N/A
ULTA,"Ulta Beauty Inc",0.00%,N/A
ON,"On Semiconductor",0.00%,N/A
ENPH,"Enphase Energy Inc",0.00%,N/A
TPL,"Texas Pacific Land Trust",0.00%,N/A
FBP,"First Bancorp",0.00%,N/A
LLY,"Eli Lilly and Company",0.00%,N/A
FTNT,"Fortinet Inc",0.00%,N/A
SLM,"SLM Corp",0.00%,N/A
MXL,"Maxlinear Inc",0.00%,N/A
SCHW,"The Charles Schwab Corp",0.00%,N/A
PSTG,"Pure Storage Inc",0.00%,N/A
POWI,"Power Integratn",0.00%,N/A
DVN,"Devon Energy Corp",0.00%,N/A
BMI,"Badger Meter",0.00%,N/A
DFS,"Discover Financial Services",0.00%,N/A
MPC,"Marathon Petroleum Corp",0.00%,N/A
ABC,"Amerisourcebergen Corp",0.00%,N/A
OLN,"Olin Corp",0.00%,N/A
TREX,"Trex Company",0.00%,N/A
FBIN,"Fortune Brands Innovations Inc",0.00%,N/A
M,"Macy's Inc",0.00%,N/A
DEN,"Denbury Inc",0.00%,N/A
SMAR,"Smartsheet Inc Cl A",0.00%,N/A
AMN,"Amn Healthcare Services Inc",0.00%,N/A
CTAS,"Cintas Corp",0.00%,N/A
ES=F,"S&P500 EMINI FUT  Sep23",0.00%,N/A
STT,"State Street Corp",0.00%,N/A
LPX,"Louisiana-Pacific Corp",0.00%,N/A
BKU,"BankUnited Inc",0.00%,N/A
OFG,"OFG Bancorp",0.00%,N/A
CTSH,"Cognizant Tech Sol",0.00%,N/A
LOPE,"Grand Canyon Educati",0.00%,N/A
CIVI,"Civitas Resources Inc",0.00%,N/A
JKHY,"Jack Henry & Assoc",0.00%,N/A
FAST,"Fastenal Company",0.00%,N/A
PLAB,"Photronics Inc",0.00%,N/A
CUBI,"Customers Bancorp",0.00%,N/A
SHOO,"Steven Maddens Ltd",0.00%,N/A
PG,"Procter & Gamble Company",0.00%,N/A
PRI,"Primerica Inc",0.00%,N/A
IT,"Gartner Inc",0.00%,N/A
EXTR,"Extreme Networks",0.00%,N/A
JBSS,"John B Sanfilippo",0.00%,N/A
RS,"Reliance Steel & Aluminum Company",0.00%,N/A
AON,"AON Plc",0.00%,N/A
OXM,"Oxford Industries",0.00%,N/A
WTS,"Watts Water Technologies",0.00%,N/A
RRC,"Range Resources Corp",0.00%,N/A
BXC,"Bluelinx Holdings Inc",0.00%,N/A
CARG,"Cargurus Inc Cl A",0.00%,N/A
CTRA,"Coterra Energy Inc",0.00%,N/A
AOS,"Smith A.O. Corp",0.00%,N/A
CASH,"Pathward Financial Inc",0.00%,N/A
GWW,"W.W. Grainger",0.00%,N/A
CRUS,"Cirrus Logic Inc",0.00%,N/A
V,"Visa Inc",0.00%,N/A
MA,"Mastercard Inc",0.00%,N/A
MOH,"Molina Healthcare Inc",0.00%,N/A
DECK,"Deckers Outdoor Corp",0.00%,N/A
GOOGL,"Alphabet Cl A",0.00%,N/A
